TrialNumber	StartTime	EndTime	CoherenceAngle	StaircaseNumber	CombinedResponse	CorrectVertical	CorrectHorizontal		GazeError		HeadError		StimulusDirection
144	371667.2	372711.1	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6991261	0	SW
145	375686.5	376625.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		1.433698	0	NW
146	379704.5	380373	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4886888	0	SW
147	383718.6	384470.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1993187	0	SW
148	387740.6	388683.1	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1206959	0	SE
149	391753.1	393445.7	320	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5616226	0	SE
150	395778	397216.9	320	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1842727	0	SE
151	399785.1	402387.9	338	1	False	False	True		"(0.0, 0.0, 0.0)"		2.912628	0	SE
152	404893.1	406150	320	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1527987	0	SE
153	408917.6	409718.3	320	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6241389	0	SE
154	412939.2	413829.8	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.1397374	0	SW
155	416946.9	417707.3	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1699606	0	SE
156	420972.4	421838.2	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3671986	0	SW
157	424998.1	425742.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2382589	0	NW
158	429017.5	430004.3	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5559205	0	SW
159	433035.4	433929.3	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3921513	0	SW
160	437061.8	437746.8	200	1	False	True	False		"(0.0, 0.0, 0.0)"		0.6334921	0	NW
161	441079.6	442014.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5875791	0	NW
162	445099.9	445777.3	240	1	False	True	False		"(0.0, 0.0, 0.0)"		0.3234702	0	NW
163	449112.5	450579.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4180802	0	NW
164	453145	454371.4	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.19769	0	SW
165	457162.8	457985.3	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5380016	0	SW
166	461177.3	462243.9	240	1	False	False	True		"(0.0, 0.0, 0.0)"		3.108895	0	NE
167	465692.7	466851	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5754654	0	SE
168	469718.8	470455.8	160	1	False	True	False		"(0.0, 0.0, 0.0)"		0.837518	0	SE
169	473743.9	474604	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4963203	0	SE
170	477938.2	478708.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1839302	0	SW
171	481952.8	482872.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2579107	0	SE
172	485980.5	488050.6	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4784209	0	SE
